	texts	stars	ton
41	"Большое спасибо за гашение ""Дни тюркской письменности и культуры"". Всё пришло в великолепной сохранности, штемпеля чёткие, поставлены там где надо - НИКАКИХ ЗАМЕЧАНИЙ! ПРЕЛЕСТЬ! С наступающим Новым Годом! Пусть в Новом году у ВСЕХ работников Почты России РАСТЁТ ЗАРПЛАТА!!! Удачи Вам!"	5	1
42	Надо было отправить посылку, мало того что имея 3 окна работает всего одно, так еще нет ни какой упаковки, что бы это узнать мне пришлось отстоять в очереди. Посоветовали отправить бандеролью, так и там накладка нет пакетов. И это центральное отделение.	1	0
43	Почтовое отделение на самом деле работает до 6, а не до 7)	2	
44	Отличное отделение, только положительные эмоции, сотрудники молодцы! Обслуживаюсь здесь более трех лет	5	1
45	"Ужасный персонал. Официальный график до 19.00 в будни дни. А они закрываются в 17.00 и при этом находятся еще там. Когда захотят - тогда закроются. Вторая касса закралась. Спросил причину «ой, извините, не могу вас обслужить» в итоге забирал свой заказ час. 

1. Медленный персонал
2: у оператора проблемы с зрением и слухом
3: нагло общаются и не выдают накладные 
4: слышу как звонят в рабочий телефон. Оператор не взяв трубку сказал «достали уже»

Я не рекомендую. Я настаиваю уволить данный персонал!"	1	0
46	Снова работают до 17:00 не пишут до скольки работают завтра и не открывают дверь чтобы сказать!	1	0
47	"Ужаснейший график работы! Который день до 17:00 и раз в два дня новая табличка с Новым графиком. Воскресенье, понедельник выходные. 
Отчего скапливаются жуткие очереди. 
Хожу четвёртый день, не могу получить посылку"	1	0
48	Не соответствует режим работы !	1	0
49	"В 16:59 19.07.22 дергаю дверь 
Объявление: по техническим причинам до 17:00 работают

Время 16:59, напоминаю 

Стучусь- не открывают 
Опаздываю на самолёт 
Посылка хранится 7 календарных дней
Учитывая выходные этого отдаления-
Забрать уже никак не успею
Посылка уйдёт назад

Заранее никаких оповещений о том, что закроются раньше- не было 

В 17:04 подходит девушка и ее запускают 
Я объясняю так же свою ситуацию о самолёте и о том, что не успею забрать, посылка уйдёт 

Внутри так же стоят люди и их обслуживают.

Сотрудница закрывает мне перед носом дверь в полушёпот озвучивая МАТЫ!!!

Захлопывая дверь сотрудница ранила мне руку!!!

Это уже совсем потеряна совесть????"	1	0
50	"Со слов кассира данной почты вышестоящее руководство дало им распоряжение отправлять Заказные письма первым классом, тем самым брать с людей в два раза больше денег. Стоимость отправки заказного письма 79 руб 40 коп, первым же классом оно вам обойдётся в 180 руб. Девушка была крайне недовольна тем, что я настоял на том чтобы данное письмо всё-таки отправили заказным письмом.
 Если вы даже указали, что письмо надо отправить заказным, а не первым классом кассир всё-таки может отправить его первым классом несмотря на вашу просьбу.
 Будьте внимательны с данным отделением почты...."	1	0
51	Кто так же как и я хотел бы забрать посылку в Субботу до 18:00, у вас не получится! Отделение по Субботам работает до 16:00, но кто бы знал!? Посмотрела информацию по 2ГИС, указано до 18:00, пришла в начале 6-ого к закрытым дверям! Обновите пожалуйста информацию, что по Субботам вы работаете не до 18:00, а до 16:00 !!!	1	0
52	Все понравилось, отличное обслуживание. Отправлял посылку, сотрудники помогли со всем процессом. Рекомендую!	5	1
53	Рядом с домом))очереди никогда не встречала ещё пока)) обслуживают быстро)) у меня подключено к номеру телефона , поэтому можно без паспорта прийти и ничего заполнять не надо))просто смс на телефон и все)) занимает 1-2 минуты и посылка у меня )) надеюсь не столкнулись с проблемами , что отписывали ниже ((	5	1
54	Ужасно! Тут указано, что выходной сб, вс, а по факту понедельник - выходной, ещё и работают до 16:00. Ехала из другого города специально за посылкой, из-за вас придётся перенести ещё на неделю. Трубки не берут. До этого забирала посылку было отвратительно! Женщина при мне стояла около 40 минут, ждала, потому что работница ушла куда-то с ее паспортом, в итоге посылки нет и настроения возвращаться тоже	1	0
55	Выходной в понедельник???	1	0
56	Нет систематизации, нет порядка: посылки не могут найти, соответственно. Приходится тратить своё время, ходить по несколько раз в отделение за одной посылкой. Сотрудники грубят, включают «защиту», но, уважаемые, наведите порядок в отделение, каждый в своём (это общее к Почте России), и не нужно будет проявлять негатив к клиентам! Это же так просто! Руководителю большой минус. Лайфхак: разложите посылки по числам от 1 до 31. Числа соответствуют дате в любом месяце. И будет все систематизировано, по полочкам: и Вы менее напряжены, и клиенты не тратят своё драгоценное время из-за плохой организации процессов.	2	
57	Это очень долго господа руководители почты России! Народ на улице стоит!	2	
58	Когда уже устаканится рабочий график с выходными днями???	2	
59	"Место неплохое, рбслуживают вроде быстро.
Но на улице холода, а заставляют очередь ждать на улице!! Стряла на улице 15 в очереди + оказалось на почте человека 4 и кто в машине очереди ждал."	2	
60	Рыба гниет с головы... ужасное отношение, полностью не компетентный персонал. Начальник, это индивидуум, которому место далеко не с людьми работать. Готовьтесь, если будуте отстаивать свои права, будете оскорблены отборными матами «начальника».	1	0
61	"Мы переехали в этот район, а до этого пользовались другим отделением Почты России. Так вот в сравнении с ним здесь отличное обслуживание. Ни разу не было негатива. Девушки молодые, активные, шустрые. Обслуживают быстро. 
С тем негативом, что пишут ниже, я не сталкивалась. Поэтому от меня 5 звёзд!!"	5	1
62	Вежливые сотрудники! Отлично и быстро обслуживают :)	5	1
63	Во втором окошке сидит кукушка, пришла за посылкой , говорит не та фамилия, говорю документ сейчас скан скину о смене фамилии или покажу, не стала даже смотреть, требовала в бумажном виде!!!21 век на дворе, многие документы в электронном носителе имеются как скан!!! До этого с этим проблем не было, когда другая девушка сидела!!!	1	0
64	Много раз забирал посылки, проблем никаких!	5	1
65	Хорошее отделение, вежливый персонал, работают быстро. На самом деле удивлён что есть негативные отзывы, просто есть с чем сравнить и это не только почта в Абакане. По телефону так же консультируют вежливо. Время работы в гисе указано не верно, ну может это и хорошо, приезжаю по позже и обслуживаюсь без очередей 	5	1
66	Неудобное время работы филиала, ужас	1	0
67	Был сегодня в этом отделении. Пришел в 16.50. я не знал что работает отделение до 6. Мне там местная Мадама заявила да посылка здесь, забрать через час только сможете. А через час это 17.50 они уже закрываются и уходят умники Ху..вы. Хотя когда я просматривал в отслеживании посылка уже с утра была там и готова к выдачи. Да и когда пришел. Начал общаться с этой мадамой она мне а??? Что??? Я говорю посылка у меня здесь. Показываю документ она с документа так и не смогла найти мою посылку в итоге диктовал громко и четко трек код и ура по трек коду наконец-то нашла и вот сказала ну через час только сможете забрать.	2	
68	Отделение неудобно находится, далеко,с Торосова приходится идти не меньше 15 мин. Работает крайне неудобно по времени,поэтому вовремя не всегда получается прийти.Постоянные вечером очереди,потому что работают до 18.00 ,при том 3 окна работают и все стоят в масках,но наше время скопление народа недопустимо. Маски не спасают. Как то год назад заказывала Товар с Алиэкспресс,позвонили с отделения, чтоб забрала посылки 2 номера назвали посылки.В приложении тоже отслеживалась,что 2 посылки пришли и ожидают на Авиаторов, 16 .Уведомление бумажное почему то не отправили. Может предновогодняя суета была. Пришла , выдали 1 только посылку. Сказали, что 2 ой нет, может не дошла.Но звонила сотрудник отделения, что их 2. Потом сказали после Праздников обращайтесь.Пришла в отделении, так посылку не нашли. Сказали, её видимо отправили обратно в Китай, у них сотрудница работала, что она любитель была обратно отправлять посылки и её уволили. Но посылка в приложении Алиэкспресс показывала, что она лежит в отделении. Писала в службу поддержки Алиэкспресс,звонила на Почту- в итоге Сроки прошли Претензии. А посылка так и не нашлась.А стоимость около 1 тыс. Потом несколько человек встречала, что в этом отделении просто воровали посылки с Китая. Что у них так же исчезали и в Китай они обратно не приходили.Может ту сотрудницу и уволили, что она воровала, а не отправляла назад.	2	
69	Самое отвратительное отделение! Слава богу прописка сменилась и больше не нужно обращаться сюда! У персонала вечные проблемы с настроением. Злые постоянно.	5	0
70	Меня вопрос мучает: нафиг нужно отделение почты, которое работает, когда все на работе, а когда оно реально нужно, оно закрыто? Отделение для домохозяек?	1	0
71	На удивление быстрое обслуживание. Был тут в последний раз до карантина, отправлял посылку. Работают два окна, принимают оперативно	5	1
72	Сколько раз была, всегда приветливый персонал. Да, бывают очереди, но где их нет в конце рабочего дня? Просто сюда только после работы за посылкой зайдешь или на выходных.	5	1
73	Добрый день. Отделение почты России устраивает. Доброжелательный персонал, всегда объяснит если появились вопросы, помогли найти посылку.	4	
74	Постоянная очередь. Хамское отношение к клиентам.	1	0
75	Вечно недовольные. Ну не нравиться тебе работать, ну уволься, зачем портить настроение другим?	1	0
76	Неужели нельзя в уведомлениях сразу написать, что работаете до 18.00, а не до 20.00?! Гоняете людей, и перед носом двери закрываете!!	2	
77	Просто о*реневшее отделение, люди стоят в очереди с заполненными письмами на отправку, приходят какие-то айтишники и работники почты говорят, что принимать никого не будут. Конверты продали, а принимать на отправку не хотят.	1	0
78	"Отвратительный руководитель, как и его сотрудники. Пришли получить посылку, на улице льёт дождь, крыша протекает и все капает + холодно. Попросились зайти внутрь, не пустила ещё и накричали. Хамка!!!!!! Девушка с чёрными волосами. 
Мало того, что наорали, так ещё и все 3 часа делают. Еле шевелятся. Я бы поставила 0 из 5!!!! 
Куда жаловаться дальше , я даже не знаю."	1	0
79	Мне нравится отправлять посылки в этом отделении почты. Девушки приветливые , если необходима консультация по способу отправки - подскажут , как лучше. Я довольна )	5	1
80	Сколько раз была в этом отделении ни разу не возникло проблем. Девушки приветливы, возможно соглашусь с торопливостью.. хотелось бы, но не критично!	5	1
81	Сб и вс выходной....	1	0
82	Очень медленные сотрудники, всегда очередь	1	0
83	Руководитель данного отделения соответсвует низкому рейтингу указанному здесь. Клиентоориентированность на нуле!	1	0
84	Единственный плюс - это вежливый персонал. Не понимаю, зачем вообще нужна почта, если в отделении я не могу купить открытку с видом города? Зато других товаров на продажу там не меряно: от туалетной бумаги до пылесоса. Причём по вертолетной цене. Скажите, реально люди приходят на почту, чтобы купить набор конфет или постельное бельё??? Лучше бы открытки в ассортимент включили.	2	
85	Никакой организованности, работают - то до 19:00, то до 20:00. Сотрудники работают крайне медленно и относятся к клиенту по-хамски.	1	0
86	очень медленные сотрудники, никакого уважения к клиенту	1	0
87	Бездарность и бестолковость сотрудников, не могут в вечернее время выдать перевод, инкассация всему виной...	1	0
88	Очень медленно работают, грубят клиентам, огромные очереди, отстояла в одной очереди, выяснилось что Оплата картой в другую очередь, не какой информации об этом не указано. Все посылки лежат как попало, нечего не могут найти	1	0
89	Сотрудники всегда приветливы	5	1
90	"Наша почта как и другие муниципальные отделения не направлены на выполнение услуг для населения, а только для отправки писем и продажи лотерейных билетов, не более того.
Принес топливный бак от мотоцикла узнать о стоимости отправки и отправить соответственно: в итоги нет необходимой упаковки по габаритам и расчитать стоимость не могут, ибо не примут к отправке!!! Ок. Иду по магазинам ищу коробку: отстаиваю очередную очередь - оператор подходит и говорит: коробка без надписей и скотча должна быть! !! СКОЛЬКО СТОИТ ОТПРАВКА?? ой а там программа считает надо взвешивать, а принять не можем!!! .... что за ...... . Какие варианты? Ну купите ленту и обклейте.
Ни стоимости ни отправки.

Вы что издеваетесь!!!
Какой нафиг сервис.

Я клиент принес бабло, оно вам не надо!!!
Потерял уйму времени, не понимание и сплошные советы и упреки!

Никогда и нигде не писал отзывы, а тут аж рвет изнутри."	1	0
91	Хорошее отделение,всегда приветливый персонал!	5	1
92	Обслуживание хорошее, всегда помогут и подскажут.	5	1
93	Самое лучшее отделение почты! Девочки всегда спешат, если много народа. Всегда вежливые.	5	1
94	хорошее отделение. дальше посмотрим)	4	
95	Хорошее отделение (особенно в сравнении с некоторыми другими пунктами в городе), вежливые сотрудники, получения выдают быстро, график удобный - некоторые почтамты закрываются раньше, чем я успеваю с работы вернуться и выходные дни у них не пойми как, да и сотрудники хамят бывает. Тут лучше. Побольше бы ТАКИХ отделов, как этот.	5	1
96	Это какой то…. Нет слов. У одной комп завис, вторая на телефоне решает свои проблемы, третья где то бегает и ей пофигу на всех, четвертая занята «перебирает бумажки». У вас как вообще с работой с клиентами? Ребята, в 22 году так не работают уже…	1	0
97	Отвратительный персонал	1	0
98	Не могу дозвониться уже второй день никто не отвечает. Федеральный номер- робот- несёт всякую чушь	1	0
99	Отделение как отделение, за исключением девушки-гопницы на приёме писем. Либо платите ей больше, либо научите правилам общения с клиентами	2	
100	"Итак, кут хаят и кричат на сотрудников, но уважаемое управление, кто ответственный за работоспособность отделения, я тут уже не в первые и каждый раз у сотрудников возникает проблема с техникой, перезагружается программы, а это потеря времени как клиентов так и работников, а соответственно негатив в отношении вашей ""компании"" давно пора уже поменять управленчество и нанять адекватных людей которые исправят текущее положение!"	3	
101	Сколько можно переделывать графики и не отражать здесь? Почему человек приходит и все закрыто, здесь один график работы, на самом деле абсолютно другой! За три месяца 4 раза поменяли!!!	2	
102	Отделение, как и почти все отделения почты в России, оставляет желать лучшего в техническом плане и в плане внешнего вида. Сотрудники хорошие, за много лет никто мне не грубил. А если с кем то они разговаривают на повышенных тонах то их можно понять, за такую то зарплату! Все мы люди. Я бы за такие деньги вообще на работу не выходил	4	
103	В 18:00 уже закрыты!!! График до 20:00	1	0
104	В 18:00 отделение уже закрывают , хотя график до 20:00 , в чем дело?	1	0
105	в 18:35 уже никого не пускали, хотя работают до 19:00.Свет горел. На звонок по телефону не ответили.пока сидела в машине наблюдала что 3 человек встретились лбом с закрытой дверью и ушли с таким же недоумением.через пару минут вышли 2 сотрудницы,по быстрому закрыли и убежали. При том,что второй день подряд не удалось получить посылку. То программа не работает,то работники домой уходят раньше времени	2	
106	Отвратительное обращение к посетителям, только и могут на повышенных тонах общаться и вечно заняты, хотя сидят 3 человека и работа только у одного из троих идёт	1	0
107	Отвратительное отделение, работники ругаются матом при клиентах, ужас просто!	1	0
108	Работают до 19, а указано до 20	3	
109	Пожалуйста поставьте мусорку возле вашего отделения, смените дверь, а то скрипит и выглядит очень плохо, добавьте света в отделении, мы будем вам очень благодарны!	3	
110	Большие очереди, постоянно зависают компьютеры. Чтобы получить посылку надо потратить около часа.	1	0
111	Время работы не совпадает, для чего писать режим работы с 8, когда по факту с 9. Пришла туда в 8.40, так меня же еще и обхаяли	2	
112	Время работы в дабл гисе и самой почты не совпадает. На мой вопрос о несоответствии времени мне сказали мне «И что теперь»	1	0
113	Ну такое. Я всегда вежлива с сотрудниками, ожидаю от людей того же. Перестали извещения носить в последнее время, и как человек должен узнать, что пришла посылка, если она не отслеживается? И меня при этом сделали виноватой, что я не забрала посылку, и её отправили обратно... На мой аргумент, что извещения не было, мне ответили, должно было быть 	2	
114	Хороший филиал, когда прихожу, в очереди максимум 2-3 человека.	5	1
115	Очень негативное впечатление от этой почты. Не дошла посылка, посылки ворует водитель,по словам самих работников,это не первый случай,!!!! Работники даже не обнаружили потерю посылки,пока мы сами не пришли. Полный бардак.!	1	0
116	В субботу работает до 18;00, а тут указано до 19	4	
117	Нормальное отделение. Живу рядом, была там много раз и ни разу косяков не видела. Очереди везде, тут я бы не сказала что долго стоишь, все достаточно быстро и четко	4	
118	Всё хорошо 	5	1
119	Везде работают до 20.00ч. А эти до 18.00	1	0
120	В ДубльГИСе указан график работы в воскресенье с 9:00 до 14:00. но по факту на самом отделении почты России висит график работы где четко прописано что воскресенье выходной. Зря через весь город ехал.....	1	0
121	Для чего приложение придумали со штрихкодом, если операторы все равно просят паспорт и заполнять бланк на получение??? (штрих код отслеживался, отправление было по России)	1	0
122	Эта самая ужасная почта в мире!! Такое чувство работники специально играют на нервах посетителей, ооочень медленно печатают, не спеша что то ищут и еще недовольные лица,о боги поменяйте там всех операторов! Еще выясняют что то между собой,говорят подожите и стоишь минут 15 ждешь. На ленина все быстро все отлично,но почему здесь так!	1	0
123	Отличный персонал . Приятный и отзывчивый. Работающий на своём месте. Также есть и абонентские ящики.	5	1
124	Написанно что работают до 18.00 по факту приехал в 14.50 мне сказали что уже закрыты	1	0
125	Медленно обслуживают, на улице, на жаре стоишь до одурения. Кошмар короче, народ зря пришел, постоял и домой пошел.	1	0
126	"Всё очень медленно, работники сидят, чешут языками, люди стоят по несколько часов! Лучше бы руками так работали. 
Несколько раз приходила, то одно, то другое. Постоянно виснет программа. Не возможно получить заказ!"	1	0
127	Действительно оооочень медлительные. Это очень раздражает. Надо быть максимально свободным ото всех дел, что бы прийти забрать посылку.	2	
128	Посылки выдают сразу, а вот почтальоны очень медленные видать, так как оповещения только на третий день после прихода посылки на почту появляются в ящиках, я не говорю уже про судебные они вообще могут прийти в последний день хранения или вообще не прийти.	3	
129	Ах да, посылку я так и не забрала, точнее мне не захотели её искать. Сказали что такие посылки не отслеживаются, а то что она сама видела у меня в телефоне что до почты отслеживалась это никого не волнует походу.	1	0
130	Вечный бардак! После работы придёшь-Работает один кассир, второй вечно занят.	1	0
131	Очень даже нормальное отделение,проблем ни разу не возникало.а на очередь можно и в магазине попасть.	5	1
132	Одно из самых приятных отделений Почты России! Вежливые, спокойные и всегда готовые помочь сотрудницы!	5	1
133	"Очень медленные операторы. Часто работает только один оператор, даже если куча народу в очереди. НО! пропускают вперед беременных или с маленькими детьми, если вас заметят) хоть за это спасибо! 
долго обрабатываются посылки на получение. Иногда по 3-5 дней!"	2	
134	Уведомления о посылках зачастую не приходят и если вовремя не забрать свою посылку, она может затеряться. В отделении всегда очередь и при этом словно насмешка висит объявление «Если перед вами 5 человек и более, позвоните по телефону 8800...» Однажды пробовал позвонить, но автомат там так долго рассказывает про возможности «Если... нажмите 1...», что проще отстоять очередь... Сотрудники медлительные и даже когда очередь, половина из них занимаются не обслуживанием клиентов, а какими-то другими делами	2	
135	Отврат, операторы отправляют за сдачей в магазины. Хамят и оскорбляют. Очень медленные.	1	0
136	"График работы указан в 2ГИС до 19:00.
А по факту работают до 18:09, только в 17:00 уже закрыто."	1	0
137	"Мало того что посылку без моего ведома перенаправили с авиаторов 16 на этот адрес(и делали это два дня, мол, удобнее) мне за 20 минут до закрытия приходит уведомление что посылка в месте получения, так ещё придя на адрес вижу табличку: ""Закрыто до 19:00 по тех причинам"" с подписью даты, в 19:02 стучится, говорят : ""Нам вас после рабочего дня обслуживать?"" Написали бы, что закрыто полностью, стояли 15 минут ждали просто так, пока откроется."	1	0
138	Почему время работы до 19:00 стоит, а в 18:53 уже закрыто?	1	0
139	Жду уведомление о получении бандероли. 24.03.2022г вручили почтальону Александровой Н. Е. Сегодня 29.03.2022. Пошла сама наугад. Вопрос - где ваш ответственный за доставку человек, который в течении 5 дней так и не появился .	1	0
